ym,StockCode,Description,user_type,cust_cnt,rev
2010-12,84536B,"FAIRY CAKES NOTEBOOK A7 SIZE",old_user,5,10.5
2010-12,84558A,"3D DOG PICTURE PLAYING CARDS",old_user,12,197.6
2010-12,84559A,"3D SHEET OF DOG STICKERS",old_user,4,28.9
2010-12,84559B,"3D SHEET OF CAT STICKERS",old_user,8,32.3
2010-12,84562A,"PINK/WHITE RIBBED MELAMINE JUG",old_user,1,8
2010-12,84563A,"PINK & WHITE BREAKFAST TRAY",old_user,2,17.8
2010-12,84563B,"BLUE & WHITE BREAKFAST TRAY",old_user,1,6
2010-12,84569A,"PACK 3 IRON ON DOG PATCHES",old_user,1,15
2010-12,84569B,"PACK 3 FIRE ENGINE/CAR PATCHES",old_user,3,32.5
2010-12,84569D,"PACK 6 HEART/ICE-CREAM PATCHES",old_user,3,23.8
2010-12,84575A,"PINK DOG CANNISTER",old_user,1,6
2010-12,84580,"MOUSE TOY WITH PINK T-SHIRT",old_user,16,112.5
2010-12,84581,"DOG TOY WITH PINK CROCHET SKIRT",old_user,2,7.5
2010-12,84584,"PINK GINGHAM CAT WITH SCARF",old_user,1,15.3
2010-12,84595E,"LARGE TORTILLA DESIGN RED BOWL",old_user,1,3.8
2010-12,84596B,"SMALL DOLLY MIX DESIGN ORANGE BOWL",old_user,5,103.8
2010-12,84596E,"SMALL LICORICE DES PINK BOWL",old_user,6,83.8
2010-12,84596F,"SMALL MARSHMALLOWS PINK BOWL",old_user,4,81.3
2010-12,84596G,"SMALL CHOCOLATES PINK BOWL",old_user,4,80.1
2010-12,84596J,"MIXED NUTS LIGHT GREEN BOWL",old_user,1,1.2
2010-12,84596L,"BISCUITS SMALL BOWL LIGHT BLUE",old_user,4,5
2010-12,84597B,"RETRO BROWN BALL ASHTRAY ",old_user,1,2.5
2010-12,84597C,"RETRO PINK BALL ASHTRAY ",old_user,2,3.8
2010-12,84609,"TALL ROCOCO CANDLE HOLDER",old_user,1,34
2010-12,84613A,"PINK NEW BAROQUE FLOCK CANDLESTICK",old_user,1,4.6
2010-12,84613C,"BLUE NEW BAROQUE FLOCK CANDLESTICK",old_user,1,4.6
2010-12,84614A,"PINK BAROQUE FLOCK CANDLE HOLDER",old_user,1,11.9
2010-12,84616,"SILVER ROCCOCO CHANDELIER",old_user,1,30
2010-12,84620,"BLUE GINGHAM ROSE CUSHION COVER",old_user,1,11.9
2010-12,84625A,"PINK NEW BAROQUECANDLESTICK CANDLE",old_user,7,129.3
2010-12,84625C,"BLUE NEW BAROQUE CANDLESTICK CANDLE",old_user,7,176.5
2010-12,84631,"FRUIT TREE AND BIRDS WALL PLAQUE",old_user,1,15.9
2010-12,84637,"KITCHEN FLOWER POTS WALL PLAQUE",old_user,1,6
2010-12,84638,"SMALL KITCHEN FLOWER POTS PLAQUE",old_user,1,7
2010-12,84658,"WHITE STITCHED CUSHION COVER",old_user,2,69.5
2010-12,84660A,"WHITE STITCHED WALL CLOCK",old_user,4,150
2010-12,84660B,"BLACK STITCHED WALL CLOCK",old_user,6,175
2010-12,84660C,"PINK STITCHED WALL CLOCK",old_user,5,200
2010-12,84665,"SQUARE CHERRY BLOSSOM CABINET",old_user,2,47.6
2010-12,84666,"SQUARE CHERRY BLOSSOM CABINET",old_user,1,23.7
2010-12,84673A,"PINK FLY SWAT",old_user,1,2
2010-12,84673B,"BLUE FLY SWAT",old_user,1,2
2010-12,84674,"FLYING PIG WATERING CAN",old_user,3,83.1
2010-12,84678,"CLASSICAL ROSE SMALL VASE",old_user,2,75.3
2010-12,84683,"CLASSICAL ROSE CANDLESTAND",old_user,2,61.2
2010-12,84685,"BEACH HUT KEY CABINET",old_user,1,11.2
2010-12,84688,"BEACH HUT DESIGN BLACKBOARD",old_user,1,25.5
2010-12,84692,"BOX OF 24 COCKTAIL PARASOLS",old_user,28,300.9
2010-12,84706D,"CHERRY BLOSSOM TABLE CLOCK ",old_user,1,17.9
2010-12,84707A,"SILVER JEWELLED MIRROR TRINKET TRAY",old_user,1,39.8
2010-12,84707B,"PINK JEWELLED MIRROR TRINKET TRAY",old_user,1,10
2010-12,84709B,"PINK OVAL JEWELLED MIRROR",old_user,3,17.8
2010-12,84711A,"SILVER OVAL SHAPE TRINKET BOX",old_user,1,19.9
2010-12,84725,"FREESTYLE CANVAS ART PICTURE",old_user,1,4.2
2010-12,84744,"S/6 SEW ON CROCHET FLOWERS",old_user,6,23.8
2010-12,84750B,"BLACK SMALL GLASS CAKE STAND",old_user,1,2
2010-12,84751B,"BLACK MEDIUM GLASS CAKE STAND",old_user,1,7.5
2010-12,84754,"S/15 SILVER GLASS BAUBLES IN BAG",old_user,15,247.6
2010-12,84755,"COLOUR GLASS T-LIGHT HOLDER HANGING",old_user,17,280.8
2010-12,84760S,"SMALL HANGING GLASS+ZINC LANTERN",old_user,1,17.4
2010-12,84763,"ZINC FINISH 15CM PLANTER POTS",old_user,5,135.5
2010-12,84766,"SILVER ROCOCO CANDLE STICK",old_user,3,140.4
2010-12,84773,"RED ROSE AND LACE C/COVER",old_user,1,8.9
2010-12,84789,"ENCHANTED BIRD PLANT CAGE",old_user,2,22.5
2010-12,84792,"ENCHANTED BIRD COATHANGER 5 HOOK",old_user,12,167.4
2010-12,84795B,"SUNSET CHECK HAMMOCK",old_user,2,63.6
2010-12,84799,"SPRIG LAVENDER ARTIFICIAL FLOWER",old_user,3,60.5
2010-12,84800L,"LARGE WHITE/PINK ROSE ART FLOWER",old_user,2,46.6
2010-12,84800M,"MEDIUM WHITE/PINK ROSE ART FLOWER",old_user,1,1.7
2010-12,84802A,"WHITE ANEMONE ARTIFICIAL FLOWER",old_user,1,3.4
2010-12,84804A,"CREAM DELPHINIUM ARTIFICIAL FLOWER",old_user,1,5.9
2010-12,84806A,"PINK CANDYSTUFT ARTIFICIAL FLOWER",old_user,1,1.4
2010-12,84809A,"WHITE CHRYSANTHEMUMS ART FLOWER",old_user,2,25.2
2010-12,84813,"SET OF 4 DIAMOND NAPKIN RINGS",old_user,3,88.7
2010-12,84816,"DANISH ROSE BEDSIDE CABINET",old_user,1,40
2010-12,84817,"DANISH ROSE DECORATIVE PLATE",old_user,7,123.5
2010-12,84818,"DANISH ROSE PHOTO FRAME",old_user,9,201.5
2010-12,84819,"DANISH ROSE ROUND SEWING BOX",old_user,13,198
2010-12,84820,"DANISH ROSE TRINKET TRAYS",old_user,6,91.9
2010-12,84821,"DANISH ROSE DELUXE COASTER",old_user,7,70.7
2010-12,84823,"DANISH ROSE FOLDING CHAIR",old_user,20,779.1
2010-12,84826,"ASSTD DESIGN 3D PAPER STICKERS",old_user,8,119.1
2010-12,84827,"ASS DES PHONE SPONGE CRAFT STICKER",old_user,5,65.1
2010-12,84828,"JUNGLE POPSICLES ICE LOLLY HOLDERS",old_user,2,3.8
2010-12,84832,"ZINC WILLIE WINKIE  CANDLE STICK",old_user,10,147.9
2010-12,84836,"ZINC METAL HEART DECORATION",old_user,37,631.2
2010-12,84843,"WHITE SOAP RACK WITH 2 BOTTLES",old_user,2,23.8
2010-12,84846A,"SCENTED CANDLE IN DIGITALIS TIN",old_user,3,33.6
2010-12,84849A,"HELLO SAILOR BLUE SOAP HOLDER",old_user,3,28.7
2010-12,84849B,"FAIRY SOAP SOAP HOLDER",old_user,9,69.3
2010-12,84849D,"HOT BATHS SOAP HOLDER",old_user,11,79.4
2010-12,84854,"GIRLY PINK TOOL SET",old_user,1,24.8
2010-12,84859A,"SILVER DISCO HANDBAG",old_user,1,6
2010-12,84865,"NEW BAROQUE BLACK PHOTO ALBUM",old_user,3,34
2010-12,84870B,"BLUE GEISHA GIRL ",old_user,3,22.5
2010-12,84870C,"GREEN GEISHA GIRL ",old_user,3,22.5
2010-12,84874B,"BLUE TRAVEL FIRST AID KIT",old_user,1,1.6
2010-12,84875B,"GREEN SQUARE COMPACT MIRROR",old_user,1,15
2010-12,84876D,"BLUE HEART COMPACT MIRROR",old_user,2,22.5
2010-12,84877B,"GREEN ROUND COMPACT MIRROR",old_user,1,30
2010-12,84877D,"BLUE ROUND COMPACT MIRROR",old_user,3,48.8
2010-12,84879,"ASSORTED COLOUR BIRD ORNAMENT",old_user,84,3666.1
2010-12,84880,"WHITE WIRE EGG HOLDER",old_user,8,558.6
2010-12,84881,"BLUE WIRE SPIRAL CANDLE HOLDER",old_user,2,25.4
2010-12,84882,"GREEN WIRE STANDING CANDLE HOLDER",old_user,1,11.2
2010-12,84884A,"ANT WHITE WIRE HEART SPIRAL",old_user,4,157
2010-12,84898F,"YELLOW FLOWERS FELT HANDBAG KIT",old_user,7,23.1
2010-12,84906,"PINK B'FLY C/COVER W BOBBLES",old_user,2,17.8
2010-12,84910A,"PINK PAISLEY CUSHION COVER ",old_user,2,23.8
2010-12,84912A,"PINK ROSE WASHBAG",old_user,4,26.2
2010-12,84912B,"GREEN ROSE WASHBAG",old_user,4,37.5
2010-12,84913A,"SOFT PINK ROSE TOWEL ",old_user,1,18.6
2010-12,84913B,"MINT GREEN ROSE TOWEL",old_user,1,18.6
2010-12,84915,"HAND TOWEL PINK FLOWER AND DAISY",old_user,5,186.9
2010-12,84916,"HAND TOWEL PALE BLUE W FLOWERS",old_user,7,205.4
2010-12,84917,"WHITE HAND TOWEL WITH BUTTERFLY",old_user,5,92.2
2010-12,84920,"PINK FLOWER FABRIC PONY",old_user,4,26.2
2010-12,84921,"CREAM AND PINK FLOWERS PONY ",old_user,1,3.8
2010-12,84922,"PINK BUTTERFLY WASHBAG",old_user,1,8.5
2010-12,84924A,"WAKE UP COCKEREL CALENDAR SIGN ",old_user,4,37.5
2010-12,84925D,"LA PALMIERA WALL THERMOMETER",old_user,1,2.6
2010-12,84925F,"PSYCHEDELIC WALL THERMOMETER",old_user,1,2.6
2010-12,84926A,"WAKE UP COCKEREL TILE COASTER",old_user,1,5
2010-12,84926D,"LA PALMIERA TILE COASTER",old_user,2,45.3
2010-12,84926F,"PSYCHEDELIC TILE COASTER",old_user,1,10.1
2010-12,84927A,"WAKE UP COCKEREL TILE HOOK",old_user,1,2.1
2010-12,84927E,"FLOWERS TILE HOOK",old_user,1,12.6
2010-12,84929,"ASSTD FRUIT+FLOWERS FRIDGE MAGNETS",old_user,1,13.2
2010-12,84944,"SET OF 6 KASHMIR FOLKART BAUBLES",old_user,9,119
2010-12,84945,"MULTI COLOUR SILVER T-LIGHT HOLDER",old_user,28,1067.5
2010-12,84946,"ANTIQUE SILVER TEA GLASS ETCHED",old_user,52,1544.3
2010-12,84947,"ANTIQUE SILVER TEA GLASS ENGRAVED",old_user,23,487.6
2010-12,84949,"SILVER HANGING T-LIGHT HOLDER",old_user,25,1434.6
2010-12,84950,"ASSORTED COLOUR T-LIGHT HOLDER",old_user,5,1042.2
2010-12,84951A,"SET OF 4 PISTACHIO LOVEBIRD COASTER",old_user,3,35.7
2010-12,84951B,"SET OF 4 BLACK LOVEBIRD COASTERS",old_user,4,45.9
2010-12,84952A,"CLEAR LOVE BIRD T-LIGHT HOLDER",old_user,1,67.5
2010-12,84952B,"BLACK LOVE BIRD T-LIGHT HOLDER",old_user,3,146.2
2010-12,84952C,"MIRROR LOVE BIRD T-LIGHT HOLDER",old_user,4,150
2010-12,84963A,"PINK PAINTED KASHMIRI CHAIR",old_user,1,171.8
2010-12,84968A,"SET OF 16 VINTAGE ROSE CUTLERY",old_user,5,89.2
2010-12,84968C,"SET OF 16 VINTAGE PISTACHIO CUTLERY",old_user,6,165.8
2010-12,84968D,"SET OF 16 VINTAGE RED CUTLERY",old_user,2,25.5
2010-12,84968F,"SET OF 16 VINTAGE SKY BLUE CUTLERY",old_user,3,38.2
2010-12,84969,"BOX OF 6 ASSORTED COLOUR TEASPOONS",old_user,8,114.8
2010-12,84970L,"SINGLE HEART ZINC T-LIGHT HOLDER",old_user,23,298.3
2010-12,84970S,"HANGING HEART ZINC T-LIGHT HOLDER",old_user,22,430.5
2010-12,84971S,"SMALL HEART FLOWERS HOOK ",old_user,7,99.4
2010-12,84975,"HEART SHAPED MIRROR",old_user,2,8.4
2010-12,84978,"HANGING HEART JAR T-LIGHT HOLDER",old_user,17,325.1
2010-12,84985A,"SET OF 72 GREEN PAPER DOILIES",old_user,7,15.9
2010-12,84987,"SET OF 36 TEATIME PAPER DOILIES",old_user,11,69.6
2010-12,84988,"SET OF 72 PINK HEART PAPER DOILIES",old_user,15,369.4
2010-12,84991,"60 TEATIME FAIRY CAKE CASES",old_user,46,733.2
2010-12,84992,"72 SWEETHEART FAIRY CAKE CASES",old_user,33,674.6
2010-12,84993A,"75 GREEN PETIT FOUR CASES",old_user,4,13.9
2010-12,84993B,"75 BLACK PETIT FOUR CASES",old_user,4,6.7
2010-12,84997A,"GREEN 3 PIECE POLKADOT CUTLERY SET",old_user,25,742.8
2010-12,84997B,"RED 3 PIECE RETROSPOT CUTLERY SET",old_user,27,904.1
2010-12,84997C,"BLUE 3 PIECE POLKADOT CUTLERY SET",old_user,25,645.3
2010-12,84997D,"PINK 3 PIECE POLKADOT CUTLERY SET",old_user,29,874.1
2010-12,85006,"SET 4 NURSERY DES ROUND BOXES",old_user,2,11.8
2010-12,85008,"SET OF 3 CONEY ISLAND OVAL BOXES",old_user,2,29.7
2010-12,85014A,"BLACK/BLUE POLKADOT UMBRELLA",old_user,19,386.8
2010-12,85014B,"RED RETROSPOT UMBRELLA",old_user,19,392.7
2010-12,85015,"SET OF 12  VINTAGE POSTCARD SET",old_user,3,111.4
2010-12,85016,"SET OF 6 VINTAGE NOTELETS KIT",old_user,2,30.6
2010-12,85017B,"ENVELOPE 50 BLOSSOM IMAGES",old_user,1,40.8
2010-12,85017C,"ENVELOPE 50 CURIOUS IMAGES",old_user,1,4.2
2010-12,85018D,"YULETIDE IMAGES S/6 PAPER BOXES",old_user,5,28
2010-12,85019A,"ROMANTIC IMAGES NOTEBOOK SET",old_user,1,17
2010-12,85019C,"CURIOUS  IMAGES NOTEBOOK SET",old_user,1,12.8
2010-12,85020,"ROUND PINK HEART MIRROR",old_user,2,21
2010-12,85023B,"EAU DE NILE JEWELLED PHOTOFRAME",old_user,1,2.6
2010-12,85024C,"PINK SMALL JEWELLED PHOTOFRAME",old_user,2,3.3
2010-12,85025C,"PINK HEART SHAPE PHOTO FRAME",old_user,4,29.7
2010-12,85026B,"EAU DE NILE JEWELLED T-LIGHT HOLDER",old_user,2,11.9
2010-12,85027L,"FRENCH CHATEAU LARGE PLATTER ",old_user,2,23.8
2010-12,85031A,"ROMANTIC IMAGES SCRAP BOOK SET",old_user,2,14.8
2010-12,85031B,"BLOSSOM IMAGES SCRAP BOOK SET",old_user,1,5
2010-12,85031C,"CURIOUS IMAGES SCRAP BOOK SET",old_user,1,14.8
2010-12,85032A,"ROMANTIC IMAGES GIFT WRAP SET",old_user,2,113.4
2010-12,85032B,"BLOSSOM IMAGES GIFT WRAP SET",old_user,1,100.8
2010-12,85032C,"CURIOUS IMAGES GIFT WRAP SET",old_user,2,113.4
2010-12,85032D,"YULETIDE IMAGES GIFT WRAP SET",old_user,7,69.3
2010-12,85034A,"3 GARDENIA MORRIS BOXED CANDLES",old_user,3,38.2
2010-12,85034B,"3 WHITE CHOC MORRIS BOXED CANDLES",old_user,6,111
2010-12,85034C,"3 ROSE MORRIS BOXED CANDLES",old_user,8,117.5
2010-12,85035A,"GARDENIA 3 WICK MORRIS BOXED CANDLE",old_user,9,85
2010-12,85035B,"CHOCOLATE 3 WICK MORRIS BOX CANDLE",old_user,11,550.2
2010-12,85035C,"ROSE 3 WICK MORRIS BOX CANDLE",old_user,13,531
2010-12,85036A,"GARDENIA 1 WICK MORRIS BOXED CANDLE",old_user,3,38.2
2010-12,85036B,"CHOCOLATE 1 WICK MORRIS BOX CANDLE",old_user,4,85.5
2010-12,85036C,"ROSE 1 WICK MORRIS BOXED CANDLE",old_user,7,105.8
2010-12,85038,"6 CHOCOLATE LOVE HEART T-LIGHTS",old_user,19,342.2
2010-12,85039A,"SET/4 RED MINI ROSE CANDLE IN BOWL",old_user,2,21.4
2010-12,85039B,"S/4 IVORY MINI ROSE CANDLE IN BOWL",old_user,2,28
2010-12,85039C,"S/4 BLACK MINI ROSE CANDLE IN BOWL",old_user,2,6.6
2010-12,85040A,"S/4 PINK FLOWER CANDLES IN BOWL",old_user,4,8.2
2010-12,85040B,"SET/4 BLUE FLOWER CANDLES IN BOWL",old_user,3,28
2010-12,85045,"GREEN CHRISTMAS TREE STRING 20LIGHT",old_user,2,24.8
2010-12,85048,"15CM CHRISTMAS GLASS BALL 20 LIGHTS",old_user,23,655.8
2010-12,85049A,"TRADITIONAL CHRISTMAS RIBBONS",old_user,34,302.5
2010-12,85049B,"LUSH GREENS RIBBONS",old_user,6,21.2
2010-12,85049C,"ROMANTIC PINKS RIBBONS ",old_user,14,85
2010-12,85049D,"BRIGHT BLUES RIBBONS ",old_user,7,75
2010-12,85049E,"SCANDINAVIAN REDS RIBBONS",old_user,39,405
2010-12,85049F,"BABY BOOM RIBBONS ",old_user,5,28.8
2010-12,85049G,"CHOCOLATE BOX RIBBONS ",old_user,13,78.8
2010-12,85049H,"URBAN BLACK RIBBONS ",old_user,4,11.2
2010-12,85053,"FRENCH ENAMEL CANDLEHOLDER",old_user,3,12.6
2010-12,85054,"FRENCH ENAMEL POT W LID",old_user,4,50.9
2010-12,85055,"FRENCH ENAMEL UTENSIL HOLDER",old_user,5,33.8
2010-12,85059,"FRENCH ENAMEL WATER BASIN",old_user,4,33.8
2010-12,85061W,"WHITE JEWELLED HEART DECORATION",old_user,6,119
2010-12,85062,"PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",old_user,8,194.7
2010-12,85064,"CREAM SWEETHEART LETTER RACK",old_user,14,789.8
2010-12,85066,"CREAM SWEETHEART MINI CHEST",old_user,18,752.2
2010-12,85067,"CREAM SWEETHEART WALL CABINET",old_user,4,107.7
2010-12,85071A,"BLUE CHARLIE+LOLA PERSONAL DOORSIGN",old_user,2,26.6
2010-12,85071B,"RED CHARLIE+LOLA PERSONAL DOORSIGN",old_user,2,39.4
2010-12,85071C,"CHARLIE+LOLA"EXTREMELY BUSY"" SIGN"",old_user,1,15.3
2010-12,85071D,"CHARLIE+LOLA MY ROOM DOOR SIGN",old_user,2,20.4
2010-12,85078,"SCANDINAVIAN 3 HEARTS NAPKIN RING",old_user,2,16.2
2010-12,85084,"HOLLY TOP CHRISTMAS STOCKING",old_user,6,14.4
2010-12,85086A,"CANDY SPOT HEART DECORATION",old_user,1,0.8
2010-12,85095,"THREE CANVAS LUGGAGE TAGS",old_user,1,2
2010-12,85099B,"JUMBO BAG RED RETROSPOT",old_user,77,3619.2
2010-12,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",old_user,38,1441.2
2010-12,85099F,"JUMBO BAG STRAWBERRY",old_user,28,778.5
2010-12,85103,"SILVER T-LIGHT SETTING",old_user,1,6.8
2010-12,85104,"SILVER GLASS T-LIGHT SET",old_user,4,53.1
2010-12,85106,"CUT GLASS HEXAGON T-LIGHT HOLDER",old_user,1,10.2
2010-12,85107,"CUT GLASS T-LIGHT HOLDER OCTAGON",old_user,1,30.6
2010-12,85109,"PINK BOUDOIR T-LIGHT HOLDER",old_user,1,10.2
2010-12,85111,"SILVER GLITTER FLOWER VOTIVE HOLDER",old_user,1,15
2010-12,85114A,"BLACK ENCHANTED FOREST PLACEMAT",old_user,6,200.4
2010-12,85114B,"IVORY ENCHANTED FOREST PLACEMAT",old_user,7,97.3
2010-12,85114C,"RED ENCHANTED FOREST PLACEMAT",old_user,8,100.7
2010-12,85116,"BLACK CANDELABRA T-LIGHT HOLDER",old_user,8,362.1
2010-12,85118,"HEART T-LIGHT HOLDER",old_user,2,45.7
2010-12,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",old_user,155,9602.1
2010-12,85124B,"BLUE JUICY FRUIT PHOTO FRAME",old_user,4,56.1
2010-12,85124C,"GREEN JUICY FRUIT PHOTO FRAME",old_user,6,84.1
2010-12,85127,"SMALL SQUARE CUT GLASS CANDLESTICK",old_user,4,54.4
2010-12,85129B,"BEADED CRYSTAL HEART GREEN SMALL",old_user,3,25
2010-12,85129C,"BEADED CRYSTAL HEART BLUE SMALL",old_user,2,32.5
2010-12,85129D,"BEADED CRYSTAL HEART PINK SMALL",old_user,3,18.8
2010-12,85130A,"BEADED PEARL HEART WHITE LARGE",old_user,3,44.6
2010-12,85130B,"BEADED CRYSTAL HEART GREEN LARGE",old_user,1,19.8
2010-12,85130D,"BEADED CRYSTAL HEART PINK LARGE",old_user,2,9.9
2010-12,85131A,"BEADED PEARL HEART WHITE ON STICK",old_user,2,60
2010-12,85132A,"CHARLIE + LOLA BISCUITS TINS",old_user,2,29.8
2010-12,85132B,"CHARLIE AND LOLA TABLE TINS",old_user,2,19.9
2010-12,85132C,"CHARLIE AND LOLA FIGURES TINS",old_user,2,19.9
2010-12,85135A,"YELLOW DRAGONFLY HELICOPTER",old_user,1,8
2010-12,85135B,"BLUE DRAGONFLY HELICOPTER",old_user,13,151
2010-12,85135C,"RED DRAGONFLY HELICOPTER",old_user,10,135.2
2010-12,85136A,"YELLOW SHARK HELICOPTER",old_user,10,95.4
2010-12,85136B,"BLUE SHARK HELICOPTER",old_user,2,15.9
2010-12,85136C,"RED SHARK HELICOPTER",old_user,6,71.6
2010-12,85141,"JARDIN ETCHED GLASS FRUITBOWL",old_user,1,21.5
2010-12,85144,"JARDIN ETCHED GLASS BUTTER DISH",old_user,1,7.2
2010-12,85146,"JARDIN ETCHED GLASS SMALL BELL JAR",old_user,1,59.4
2010-12,85150,"LADIES & GENTLEMEN METAL SIGN",old_user,38,1232.7
2010-12,85152,"HAND OVER THE CHOCOLATE   SIGN ",old_user,40,1249.7
2010-12,85159A,"BLACK TEA,COFFEE,SUGAR JARS",old_user,3,42.7
2010-12,85159B,"WHITE TEA,COFFEE,SUGAR JARS",old_user,2,30
2010-12,85163A,"WHITE BAROQUE WALL CLOCK ",old_user,1,12.8
2010-12,85163B,"BLACK BAROQUE WALL CLOCK ",old_user,1,12.8
2010-12,85167B,"BLACK GRAND BAROQUE PHOTO FRAME",old_user,3,50.2
2010-12,85169A,"IVORY LOVE BIRD CANDLE",old_user,11,130.4
2010-12,85169B,"BLACK LOVE BIRD CANDLE",old_user,6,83.9
2010-12,85169C,"EAU DE NIL LOVE BIRD CANDLE",old_user,1,15
2010-12,85169D,"PINK LOVE BIRD CANDLE",old_user,3,35.2
2010-12,85170A,"SET/6 IVORY BIRD T-LIGHT CANDLES",old_user,1,2.1
2010-12,85170B,"SET/6 BLACK BIRD T-LIGHT CANDLES",old_user,7,61.8
2010-12,85170C,"SET/6 EAU DE NIL BIRD T-LIGHTS",old_user,3,39
2010-12,85170D,"SET/6 PINK BIRD T-LIGHT CANDLES",old_user,7,73.5
2010-12,85172,"HYACINTH BULB T-LIGHT CANDLES",old_user,3,73.9
2010-12,85173,"SET/6 FROG PRINCE T-LIGHT CANDLES",old_user,4,76.5
2010-12,85174,"S/4 CACTI CANDLES",old_user,16,463.9
2010-12,85175,"CACTI T-LIGHT CANDLES",old_user,8,161.3
2010-12,85176,"SEWING SUSAN 21 NEEDLE SET",old_user,1,17
2010-12,85177,"BASKET OF FLOWERS SEWING KIT",old_user,3,102
2010-12,85178,"VICTORIAN SEWING KIT",old_user,9,445
2010-12,85179A,"GREEN BITTY LIGHT CHAIN",old_user,1,14
2010-12,85180A,"RED HEARTS LIGHT CHAIN ",old_user,7,206.8
2010-12,85180B,"PINK HEARTS LIGHT CHAIN ",old_user,4,135
2010-12,85183A,"CHARLIE & LOLA WASTEPAPER BIN BLUE",old_user,2,26.2
2010-12,85183B,"CHARLIE & LOLA WASTEPAPER BIN FLORA",old_user,4,90
2010-12,85184C,"S/4 VALENTINE DECOUPAGE HEART BOX",old_user,18,463.2
