date,brand,sneaker,sale,retail,profit,profitpercent
01-15," Yeezy",350-V2-Beluga-2pt0,365,220,145,65.9090909090909
01-15," Yeezy",350-V2-Beluga-2pt0,361,220,141,64.0909090909091
01-15," Yeezy",350-V2-Beluga-2pt0,369,220,149,67.72727272727272
01-15," Yeezy",350-V2-Beluga-2pt0,359,220,139,63.18181818181819
01-15," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-15," Yeezy",350-V2-Beluga-2pt0,386,220,166,75.45454545454545
01-15," Yeezy",350-V2-Beluga-2pt0,385,220,165,75
01-15," Yeezy",350-V2-Beluga-2pt0,425,220,205,93.18181818181817
01-15," Yeezy",350-V2-Beluga-2pt0,375,220,155,70.45454545454545
01-15," Yeezy",350-V2-Beluga-2pt0,398,220,178,80.9090909090909
01-15," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-15," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-15," Yeezy",350-V2-Beluga-2pt0,400,220,180,81.81818181818183
01-15," Yeezy",350-V2-Beluga-2pt0,415,220,195,88.63636363636364
01-15," Yeezy",350-V2-Beluga-2pt0,346,220,126,57.27272727272727
01-15," Yeezy",350-V2-Beluga-2pt0,390,220,170,77.27272727272727
01-15," Yeezy",350-V2-Blue-Tint,400,220,180,81.81818181818183
01-15," Yeezy",350-V2-Blue-Tint,330,220,110,50
01-15," Yeezy",350-V2-Blue-Tint,368,220,148,67.27272727272727
01-15," Yeezy",350-V2-Blue-Tint,326,220,106,48.18181818181818
01-15," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-15," Yeezy",350-V2-Blue-Tint,347,220,127,57.72727272727273
01-15," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-15," Yeezy",350-V2-Blue-Tint,345,220,125,56.81818181818182
01-15," Yeezy",350-V2-Blue-Tint,378,220,158,71.81818181818181
01-15," Yeezy",350-V2-Blue-Tint,353,220,133,60.45454545454545
01-15," Yeezy",350-V2-Blue-Tint,364,220,144,65.45454545454545
01-15," Yeezy",350-V2-Blue-Tint,349,220,129,58.63636363636363
01-15," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-15," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-15," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-15," Yeezy",350-V2-Blue-Tint,357,220,137,62.272727272727266
01-15," Yeezy",350-V2-Blue-Tint,372,220,152,69.0909090909091
01-15," Yeezy",350-V2-Blue-Tint,331,220,111,50.45454545454545
01-15," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-15," Yeezy",350-V2-Blue-Tint,351,220,131,59.54545454545455
01-15," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-15," Yeezy",350-V2-Blue-Tint,338,220,118,53.63636363636364
01-15," Yeezy",350-V2-Blue-Tint,359,220,139,63.18181818181819
01-15," Yeezy",350-V2-Blue-Tint,322,220,102,46.36363636363636
01-15," Yeezy",350-V2-Blue-Tint,339,220,119,54.090909090909086
01-15," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-15," Yeezy",350-V2-Blue-Tint,352,220,132,60
01-15," Yeezy",350-V2-Blue-Tint,362,220,142,64.54545454545455
01-15," Yeezy",350-V2-Blue-Tint,391,220,171,77.72727272727272
01-15," Yeezy",350-V2-Blue-Tint,390,220,170,77.27272727272727
01-15," Yeezy",350-V2-Blue-Tint,342,220,122,55.45454545454545
01-15," Yeezy",350-V2-Blue-Tint,327,220,107,48.63636363636364
01-15," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-15," Yeezy",350-V2-Blue-Tint,358,220,138,62.727272727272734
01-15," Yeezy",350-V2-Blue-Tint,329,220,109,49.54545454545455
01-15," Yeezy",350-V2-Core-Black-Red,852,220,632,287.27272727272725
01-15," Yeezy",350-V2-Core-Black-Red-2017,827,220,607,275.90909090909093
01-15," Yeezy",350-V2-Core-Black-Red-2017,830,220,610,277.2727272727273
01-15," Yeezy",350-V2-Core-Black-White,720,220,500,227.27272727272728
01-15," Yeezy",350-V2-Cream-White,488,220,268,121.81818181818183
01-15," Yeezy",350-V2-Cream-White,519,220,299,135.9090909090909
01-15," Yeezy",350-V2-Cream-White,440,220,220,100
01-15," Yeezy",350-V2-Cream-White,500,220,280,127.27272727272727
01-15," Yeezy",350-V2-Cream-White,420,220,200,90.9090909090909
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,698,220,478,217.27272727272728
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,550,220,330,150
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,755,220,535,243.18181818181816
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,650,220,430,195.45454545454547
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,598,220,378,171.8181818181818
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,635,220,415,188.63636363636365
01-15," Yeezy",350-V2-Semi-Frozen-Yellow,630,220,410,186.36363636363635
01-15," Yeezy",350-V2-Zebra,515,220,295,134.0909090909091
01-15," Yeezy",350-V2-Zebra,575,220,355,161.36363636363635
01-15," Yeezy",350-V2-Zebra,565,220,345,156.8181818181818
01-15," Yeezy",350-V2-Zebra,530,220,310,140.9090909090909
01-15," Yeezy",350-V2-Zebra,520,220,300,136.36363636363635
01-15," Yeezy",350-V2-Zebra,560,220,340,154.54545454545453
01-16," Yeezy",350-Low-Pirate-Black-2015,897,200,697,348.5
01-16," Yeezy",350-Low-V2-Beluga,855,220,635,288.6363636363636
01-16," Yeezy",350-Low-V2-Beluga,710,220,490,222.72727272727272
01-16," Yeezy",350-V2-Beluga-2pt0,404,220,184,83.63636363636363
01-16," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-16," Yeezy",350-V2-Beluga-2pt0,399,220,179,81.36363636363636
01-16," Yeezy",350-V2-Beluga-2pt0,360,220,140,63.63636363636363
01-16," Yeezy",350-V2-Beluga-2pt0,388,220,168,76.36363636363637
01-16," Yeezy",350-V2-Beluga-2pt0,375,220,155,70.45454545454545
01-16," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-16," Yeezy",350-V2-Beluga-2pt0,357,220,137,62.272727272727266
01-16," Yeezy",350-V2-Beluga-2pt0,361,220,141,64.0909090909091
01-16," Yeezy",350-V2-Beluga-2pt0,364,220,144,65.45454545454545
01-16," Yeezy",350-V2-Beluga-2pt0,405,220,185,84.0909090909091
01-16," Yeezy",350-V2-Beluga-2pt0,440,220,220,100
01-16," Yeezy",350-V2-Beluga-2pt0,387,220,167,75.9090909090909
01-16," Yeezy",350-V2-Beluga-2pt0,392,220,172,78.18181818181819
01-16," Yeezy",350-V2-Beluga-2pt0,409,220,189,85.9090909090909
01-16," Yeezy",350-V2-Beluga-2pt0,490,220,270,122.72727272727273
01-16," Yeezy",350-V2-Beluga-2pt0,412,220,192,87.27272727272727
01-16," Yeezy",350-V2-Beluga-2pt0,410,220,190,86.36363636363636
01-16," Yeezy",350-V2-Beluga-2pt0,394,220,174,79.0909090909091
01-16," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-16," Yeezy",350-V2-Blue-Tint,369,220,149,67.72727272727272
01-16," Yeezy",350-V2-Blue-Tint,333,220,113,51.36363636363637
01-16," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-16," Yeezy",350-V2-Blue-Tint,370,220,150,68.18181818181817
01-16," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-16," Yeezy",350-V2-Blue-Tint,320,220,100,45.45454545454545
01-16," Yeezy",350-V2-Blue-Tint,705,220,485,220.45454545454547
01-16," Yeezy",350-V2-Blue-Tint,381,220,161,73.18181818181819
01-16," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-16," Yeezy",350-V2-Blue-Tint,359,220,139,63.18181818181819
01-16," Yeezy",350-V2-Blue-Tint,368,220,148,67.27272727272727
01-16," Yeezy",350-V2-Blue-Tint,330,220,110,50
01-16," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-16," Yeezy",350-V2-Blue-Tint,346,220,126,57.27272727272727
01-16," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-16," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-16," Yeezy",350-V2-Blue-Tint,352,220,132,60
01-16," Yeezy",350-V2-Blue-Tint,384,220,164,74.54545454545455
01-16," Yeezy",350-V2-Blue-Tint,399,220,179,81.36363636363636
01-16," Yeezy",350-V2-Blue-Tint,379,220,159,72.27272727272728
01-16," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-16," Yeezy",350-V2-Blue-Tint,349,220,129,58.63636363636363
01-16," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-16," Yeezy",350-V2-Blue-Tint,344,220,124,56.36363636363636
01-16," Yeezy",350-V2-Blue-Tint,362,220,142,64.54545454545455
01-16," Yeezy",350-V2-Blue-Tint,339,220,119,54.090909090909086
01-16," Yeezy",350-V2-Blue-Tint,338,220,118,53.63636363636364
01-16," Yeezy",350-V2-Blue-Tint,400,220,180,81.81818181818183
01-16," Yeezy",350-V2-Blue-Tint,389,220,169,76.81818181818181
01-16," Yeezy",350-V2-Core-Black-Green,662,220,442,200.90909090909093
01-16," Yeezy",350-V2-Core-Black-Red-2017,795,220,575,261.3636363636364
01-16," Yeezy",350-V2-Core-Black-Red-2017,721,220,501,227.72727272727275
01-16," Yeezy",350-V2-Core-Black-White,715,220,495,225
01-16," Yeezy",350-V2-Core-Black-White,739,220,519,235.90909090909088
01-16," Yeezy",350-V2-Core-Black-White,691,220,471,214.09090909090912
01-16," Yeezy",350-V2-Cream-White,445,220,225,102.27272727272727
01-16," Yeezy",350-V2-Cream-White,465,220,245,111.36363636363636
01-16," Yeezy",350-V2-Cream-White,420,220,200,90.9090909090909
01-16," Yeezy",350-V2-Cream-White,480,220,260,118.18181818181819
01-16," Yeezy",350-V2-Cream-White,407,220,187,85
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,510,220,290,131.8181818181818
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,788,220,568,258.1818181818182
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,610,220,390,177.27272727272728
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,542,220,322,146.36363636363637
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,680,220,460,209.0909090909091
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,760,220,540,245.45454545454547
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,600,220,380,172.72727272727272
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,647,220,427,194.0909090909091
01-16," Yeezy",350-V2-Semi-Frozen-Yellow,575,220,355,161.36363636363635
01-16," Yeezy",350-V2-Zebra,501,220,281,127.72727272727273
01-16," Yeezy",350-V2-Zebra,535,220,315,143.1818181818182
01-16," Yeezy",350-V2-Zebra,517,220,297,135
01-16," Yeezy",350-V2-Zebra,565,220,345,156.8181818181818
01-17," Yeezy",350-Low-Pirate-Black-2015,815,200,615,307.5
01-17," Yeezy",350-Low-V2-Beluga,895,220,675,306.8181818181818
01-17," Yeezy",350-Low-V2-Beluga,850,220,630,286.3636363636364
01-17," Yeezy",350-V2-Beluga-2pt0,385,220,165,75
01-17," Yeezy",350-V2-Beluga-2pt0,377,220,157,71.36363636363636
01-17," Yeezy",350-V2-Beluga-2pt0,418,220,198,90
01-17," Yeezy",350-V2-Beluga-2pt0,353,220,133,60.45454545454545
01-17," Yeezy",350-V2-Beluga-2pt0,371,220,151,68.63636363636364
01-17," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-17," Yeezy",350-V2-Beluga-2pt0,402,220,182,82.72727272727273
01-17," Yeezy",350-V2-Beluga-2pt0,375,220,155,70.45454545454545
01-17," Yeezy",350-V2-Beluga-2pt0,383,220,163,74.0909090909091
01-17," Yeezy",350-V2-Beluga-2pt0,405,220,185,84.0909090909091
01-17," Yeezy",350-V2-Beluga-2pt0,398,220,178,80.9090909090909
01-17," Yeezy",350-V2-Beluga-2pt0,403,220,183,83.18181818181817
01-17," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-17," Yeezy",350-V2-Beluga-2pt0,355,220,135,61.36363636363637
01-17," Yeezy",350-V2-Beluga-2pt0,401,220,181,82.27272727272728
01-17," Yeezy",350-V2-Beluga-2pt0,300,220,80,36.36363636363637
01-17," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-17," Yeezy",350-V2-Beluga-2pt0,368,220,148,67.27272727272727
01-17," Yeezy",350-V2-Beluga-2pt0,346,220,126,57.27272727272727
01-17," Yeezy",350-V2-Beluga-2pt0,394,220,174,79.0909090909091
01-17," Yeezy",350-V2-Beluga-2pt0,369,220,149,67.72727272727272
01-17," Yeezy",350-V2-Beluga-2pt0,362,220,142,64.54545454545455
01-17," Yeezy",350-V2-Beluga-2pt0,399,220,179,81.36363636363636
01-17," Yeezy",350-V2-Beluga-2pt0,366,220,146,66.36363636363637
01-17," Yeezy",350-V2-Beluga-2pt0,363,220,143,65
01-17," Yeezy",350-V2-Blue-Tint,330,220,110,50
01-17," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-17," Yeezy",350-V2-Blue-Tint,390,220,170,77.27272727272727
01-17," Yeezy",350-V2-Blue-Tint,363,220,143,65
01-17," Yeezy",350-V2-Blue-Tint,349,220,129,58.63636363636363
01-17," Yeezy",350-V2-Blue-Tint,324,220,104,47.27272727272727
01-17," Yeezy",350-V2-Blue-Tint,353,220,133,60.45454545454545
01-17," Yeezy",350-V2-Blue-Tint,359,220,139,63.18181818181819
01-17," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-17," Yeezy",350-V2-Blue-Tint,370,220,150,68.18181818181817
01-17," Yeezy",350-V2-Blue-Tint,364,220,144,65.45454545454545
01-17," Yeezy",350-V2-Blue-Tint,325,220,105,47.72727272727273
01-17," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-17," Yeezy",350-V2-Blue-Tint,332,220,112,50.90909090909091
01-17," Yeezy",350-V2-Blue-Tint,351,220,131,59.54545454545455
01-17," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-17," Yeezy",350-V2-Blue-Tint,394,220,174,79.0909090909091
01-17," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-17," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-17," Yeezy",350-V2-Blue-Tint,368,220,148,67.27272727272727
01-17," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-17," Yeezy",350-V2-Blue-Tint,338,220,118,53.63636363636364
01-17," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-17," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-17," Yeezy",350-V2-Blue-Tint,354,220,134,60.909090909090914
01-17," Yeezy",350-V2-Core-Black-Copper,615,220,395,179.54545454545453
01-17," Yeezy",350-V2-Core-Black-Red-2017,800,220,580,263.6363636363636
01-17," Yeezy",350-V2-Core-Black-Red-2017,725,220,505,229.54545454545453
01-17," Yeezy",350-V2-Core-Black-White,700,220,480,218.18181818181816
01-17," Yeezy",350-V2-Core-Black-White,730,220,510,231.81818181818184
01-17," Yeezy",350-V2-Cream-White,490,220,270,122.72727272727273
01-17," Yeezy",350-V2-Cream-White,475,220,255,115.90909090909092
01-17," Yeezy",350-V2-Cream-White,445,220,225,102.27272727272727
01-17," Yeezy",350-V2-Semi-Frozen-Yellow,590,220,370,168.1818181818182
01-17," Yeezy",350-V2-Semi-Frozen-Yellow,682,220,462,210
01-17," Yeezy",350-V2-Semi-Frozen-Yellow,650,220,430,195.45454545454547
01-17," Yeezy",350-V2-Semi-Frozen-Yellow,797,220,577,262.27272727272725
01-17," Yeezy",350-V2-Zebra,525,220,305,138.63636363636365
01-17," Yeezy",350-V2-Zebra,579,220,359,163.1818181818182
01-17," Yeezy",350-V2-Zebra,511,220,291,132.27272727272728
01-17," Yeezy",350-V2-Zebra,520,220,300,136.36363636363635
01-18," Yeezy",350-Low-Oxford-Tan,"1,261",200,-199,-99.5
01-18," Yeezy",350-Low-Pirate-Black-2015,846,200,646,323
01-18," Yeezy",350-Low-V2-Beluga,875,220,655,297.7272727272727
01-18," Yeezy",350-V2-Beluga-2pt0,398,220,178,80.9090909090909
01-18," Yeezy",350-V2-Beluga-2pt0,411,220,191,86.81818181818181
01-18," Yeezy",350-V2-Beluga-2pt0,366,220,146,66.36363636363637
01-18," Yeezy",350-V2-Beluga-2pt0,372,220,152,69.0909090909091
01-18," Yeezy",350-V2-Beluga-2pt0,360,220,140,63.63636363636363
01-18," Yeezy",350-V2-Beluga-2pt0,371,220,151,68.63636363636364
01-18," Yeezy",350-V2-Beluga-2pt0,385,220,165,75
01-18," Yeezy",350-V2-Beluga-2pt0,365,220,145,65.9090909090909
01-18," Yeezy",350-V2-Beluga-2pt0,404,220,184,83.63636363636363
01-18," Yeezy",350-V2-Beluga-2pt0,391,220,171,77.72727272727272
01-18," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-18," Yeezy",350-V2-Beluga-2pt0,381,220,161,73.18181818181819
01-18," Yeezy",350-V2-Beluga-2pt0,361,220,141,64.0909090909091
01-18," Yeezy",350-V2-Beluga-2pt0,375,220,155,70.45454545454545
01-18," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-18," Yeezy",350-V2-Beluga-2pt0,355,220,135,61.36363636363637
01-18," Yeezy",350-V2-Beluga-2pt0,382,220,162,73.63636363636363
01-18," Yeezy",350-V2-Beluga-2pt0,400,220,180,81.81818181818183
01-18," Yeezy",350-V2-Beluga-2pt0,384,220,164,74.54545454545455
01-18," Yeezy",350-V2-Beluga-2pt0,338,220,118,53.63636363636364
01-18," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-18," Yeezy",350-V2-Beluga-2pt0,402,220,182,82.72727272727273
01-18," Yeezy",350-V2-Blue-Tint,369,220,149,67.72727272727272
01-18," Yeezy",350-V2-Blue-Tint,370,220,150,68.18181818181817
01-18," Yeezy",350-V2-Blue-Tint,364,220,144,65.45454545454545
01-18," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-18," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-18," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-18," Yeezy",350-V2-Blue-Tint,345,220,125,56.81818181818182
01-18," Yeezy",350-V2-Blue-Tint,342,220,122,55.45454545454545
01-18," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-18," Yeezy",350-V2-Blue-Tint,367,220,147,66.81818181818183
01-18," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-18," Yeezy",350-V2-Blue-Tint,353,220,133,60.45454545454545
01-18," Yeezy",350-V2-Blue-Tint,362,220,142,64.54545454545455
01-18," Yeezy",350-V2-Blue-Tint,348,220,128,58.18181818181818
01-18," Yeezy",350-V2-Blue-Tint,326,220,106,48.18181818181818
01-18," Yeezy",350-V2-Blue-Tint,379,220,159,72.27272727272728
01-18," Yeezy",350-V2-Blue-Tint,349,220,129,58.63636363636363
01-18," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-18," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-18," Yeezy",350-V2-Blue-Tint,339,220,119,54.090909090909086
01-18," Yeezy",350-V2-Blue-Tint,361,220,141,64.0909090909091
01-18," Yeezy",350-V2-Blue-Tint,374,220,154,70
