ym,country,cust_cnt,rev_total,ARPPU
2011-04,"European Community",1,191.40000000000003,191.40000000000003
2011-05,Netherlands,4,29185.879999999997,7296.469999999999
2011-05,Australia,2,13638.410000000003,6819.205000000002
2011-05,EIRE,3,15982.19000000001,5327.39666666667
2011-05,Portugal,1,4202.2300000000005,4202.2300000000005
2011-05,Japan,1,1351.4499999999998,1351.4499999999998
2011-05,Sweden,2,2681.98,1340.99
2011-05,Switzerland,3,3610.01,1203.3366666666668
2011-05,Spain,3,3257.6,1085.8666666666666
2011-05,Germany,27,25751.199999999993,953.748148148148
2011-05,Unspecified,1,852.6800000000002,852.6800000000002
2011-05,France,28,17614.879999999986,629.1028571428567
2011-05,Austria,2,1249.4299999999998,624.7149999999999
2011-05,"Channel Islands",2,1207.24,603.62
2011-05,Italy,1,587.45,587.45
2011-05,"United Kingdom",962,551568.8200000053,573.3563617463673
2011-05,Canada,1,534.24,534.24
2011-05,Denmark,1,515.7,515.7
2011-05,Poland,3,1522.3700000000001,507.4566666666667
2011-05,Belgium,7,2732.4,390.34285714285716
2011-05,Bahrain,2,548.4,274.2
2011-06,Australia,2,25187.769999999997,12593.884999999998
2011-06,EIRE,2,19835.989999999994,9917.994999999997
2011-06,Netherlands,5,26858.090000000033,5371.618000000007
2011-06,Norway,2,5886.860000000004,2943.430000000002
2011-06,"Channel Islands",1,2060.0300000000007,2060.0300000000007
2011-06,Switzerland,4,7904.149999999999,1976.0374999999997
2011-06,Japan,1,1607.0399999999997,1607.0399999999997
2011-06,Canada,1,1171.4600000000003,1171.4600000000003
2011-06,Cyprus,1,1109.3199999999997,1109.3199999999997
2011-06,Denmark,3,3261.1500000000005,1087.0500000000002
2011-06,Malta,1,863.16,863.16
2011-06,France,25,16078.970000000007,643.1588000000003
2011-06,Germany,21,13274.099999999995,632.0999999999998
2011-06,"United Kingdom",889,524915.480000016,590.4561079865198
2011-06,"European Community",1,432.05,432.05
2011-06,Spain,8,3333.209999999999,416.6512499999999
2011-06,Belgium,11,4274.82,388.61999999999995
2011-06,Iceland,1,382.52,382.52
2011-06,Finland,1,329.56,329.56
2011-06,Portugal,3,884.4599999999997,294.8199999999999
2011-06,Sweden,3,831.9999999999998,277.33333333333326
2011-06,Unspecified,1,185.78000000000003,185.78000000000003
2011-06,Poland,2,343.65000000000003,171.82500000000002
2011-06,Italy,2,202.07000000000002,101.03500000000001
2011-07,EIRE,3,27440.890000000014,9146.963333333339
2011-07,Singapore,1,3949.32,3949.32
2011-07,Sweden,1,2825.1,2825.1
2011-07,Japan,2,3854.4,1927.2
2011-07,Canada,1,1768.5799999999997,1768.5799999999997
2011-07,Australia,3,4964.3799999999965,1654.7933333333322
2011-07,Israel,1,1430.75,1430.75
2011-07,Spain,7,7624.9199999999955,1089.274285714285
2011-07,Finland,3,2996.7299999999996,998.9099999999999
2011-07,Norway,1,890.0699999999998,890.0699999999998
2011-07,Switzerland,3,2437.420000000001,812.4733333333337
2011-07,Portugal,3,2287.8499999999995,762.6166666666664
2011-07,"European Community",1,676.8,676.8
2011-07,Germany,26,16440.97999999998,632.3453846153839
2011-07,Belgium,4,2475.5699999999993,618.8924999999998
2011-07,Austria,2,1191.9499999999998,595.9749999999999
2011-07,"United Kingdom",853,482229.65100001235,565.3337057444459
2011-07,France,18,10000.190000000004,555.5661111111114
2011-07,Greece,1,421.23999999999995,421.23999999999995
2011-07,Unspecified,2,798.4799999999997,399.23999999999984
2011-07,Denmark,1,376.24,376.24
2011-07,Poland,2,687.3,343.65
2011-07,Italy,1,147.10000000000002,147.10000000000002
2011-07,Netherlands,1,26.02,26.02
