ym,stockCode,description,cust_cnt,rev_total
2010-12,21931,"JUMBO STORAGE BAG SUKI",46,1583.4300000000005
2010-12,22558,"CLOTHES PEGS RETROSPOT PACK 24 ",51,1580.4500000000012
2010-12,22699,"ROSES REGENCY TEACUP AND SAUCER ",36,1566.4100000000005
2010-12,22968,"ROSE COTTAGE KEEPSAKE BOX ",28,1511.8900000000008
2010-12,84949,"SILVER HANGING T-LIGHT HOLDER",26,1501.7999999999997
2010-12,22077,"6 RIBBONS RUSTIC CHARM",50,1486.39
2010-12,20914,"SET/5 RED RETROSPOT LID GLASS BOWLS",48,1485.5600000000009
2010-12,22780,"LIGHT GARLAND BUTTERFILES PINK",7,1482.54
2010-12,22666,"RECIPE BOX PANTRY YELLOW DESIGN",51,1464.600000000001
2010-12,84997B,"RED 3 PIECE RETROSPOT CUTLERY SET",28,1454.98
2010-12,35004C,"SET OF 3 COLOURED  FLYING DUCKS",16,1452.3500000000001
2010-12,20725,"LUNCH BAG RED RETROSPOT",52,1447.3899999999999
2010-12,22158,"3 HEARTS HANGING DECORATION RUSTIC",42,1438.66
2010-12,22728,"ALARM CLOCK BAKELIKE PINK",42,1432.48
2010-12,21098,"CHRISTMAS TOILET ROLL",35,1427.3400000000001
2010-12,22795,"SWEETHEART RECIPE BOOK STAND",28,1422.8200000000004
2010-12,22720,"SET OF 3 CAKE TINS PANTRY DESIGN ",46,1407.67
2010-12,22941,"CHRISTMAS LIGHTS 10 REINDEER",40,1407.1600000000003
2010-12,22988,"SOLDIERS EGG CUP ",49,1399.9299999999996
2010-12,51008,"AFGHAN SLIPPER SOCK PAIR",8,1393.85
2010-12,21791,"VINTAGE HEADS AND TAILS CARD GAME ",44,1389.7999999999997
2010-12,21314,"SMALL GLASS HEART TRINKET POT",22,1387.0599999999997
2010-12,22585,"PACK OF 6 BIRDY GIFT TAGS",46,1370.6
2010-12,84050,"PINK HEART SHAPE EGG FRYING PAN",21,1370.13
2010-12,21928,"JUMBO BAG SCANDINAVIAN PAISLEY",29,1365.89
2010-12,85152,"HAND OVER THE CHOCOLATE   SIGN ",41,1363.350000000001
2010-12,22467,"GUMBALL COAT RACK",34,1352.9099999999994
2010-12,20750,"RED RETROSPOT MINI CASES",33,1350.8400000000001
2010-12,85150,"LADIES & GENTLEMEN METAL SIGN",39,1349.0499999999986
2010-12,21524,"DOORMAT SPOTTY HOME SWEET HOME",29,1338.6600000000003
2010-12,22624,"IVORY KITCHEN SCALES",45,1329.06
2010-12,15056BL,"EDWARDIAN PARASOL BLACK",23,1324.38
2010-12,82482,"WOODEN PICTURE FRAME WHITE FINISH",47,1320.3299999999995
2010-12,85232B,"SET OF 3 BABUSHKA STACKING TINS",7,1316.7000000000003
2010-12,20724,"RED RETROSPOT CHARLOTTE BAG",33,1314.6999999999998
2010-12,22379,"RECYCLING BAG RETROSPOT ",25,1302.09
2010-12,21527,"RED RETROSPOT TRADITIONAL TEAPOT ",41,1279.6499999999999
2010-12,84032A,"CHARLIE+LOLA PINK HOT WATER BOTTLE",16,1276.9099999999996
2010-12,22507,"MEMO BOARD RETROSPOT  DESIGN",16,1258.6399999999994
2010-12,84945,"MULTI COLOUR SILVER T-LIGHT HOLDER",29,1255.1500000000003
2010-12,21259,"VICTORIAN SEWING BOX SMALL ",33,1222.8400000000006
2010-12,47566,"PARTY BUNTING",23,1207.740000000001
2010-12,85066,"CREAM SWEETHEART MINI CHEST",19,1185.5800000000002
2010-12,37370,"RETRO COFFEE MUGS ASSORTED",19,1179.5500000000004
2010-12,20726,"LUNCH BAG WOODLAND",39,1175.8300000000002
2010-12,84077,"WORLD WAR 2 GLIDERS ASSTD DESIGNS",26,1174.1299999999994
2010-12,22722,"SET OF 6 SPICE TINS PANTRY DESIGN",31,1172.4099999999999
2010-12,22109,"FULL ENGLISH BREAKFAST PLATE",19,1163.9700000000003
2010-12,21166,"COOK WITH WINE METAL SIGN ",47,1146.4400000000005
2010-12,48194,"DOORMAT HEARTS",27,1146.3600000000004
2010-12,22569,"FELTCRAFT CUSHION BUTTERFLY",43,1139.4599999999998
2010-12,48187,"DOORMAT NEW ENGLAND",27,1135.41
2010-12,22502,"PICNIC BASKET WICKER SMALL",23,1132.7600000000004
2010-12,22568,"FELTCRAFT CUSHION OWL",48,1126.9499999999998
2010-12,84950,"ASSORTED COLOUR T-LIGHT HOLDER",6,1125.3600000000004
2010-12,21929,"JUMBO BAG PINK VINTAGE PAISLEY",27,1123.59
2010-12,84997D,"PINK 3 PIECE POLKADOT CUTLERY SET",30,1119.44
2010-12,22791,"T-LIGHT GLASS FLUTED ANTIQUE",29,1114.3799999999999
2010-12,22041,"RECORD FRAME 7" SINGLE SIZE "",16,1109.53
2010-12,22619,"SET OF 6 SOLDIER SKITTLES",26,1071.12
2010-12,22383,"LUNCH BAG SUKI  DESIGN ",42,1068.2799999999997
2010-12,22555,"PLASTERS IN TIN STRONGMAN",36,1065.7799999999995
2010-12,21930,"JUMBO STORAGE BAG SKULLS",30,1059.2800000000002
2010-12,84078A,"SET/4 WHITE RETRO STORAGE CUBES ",3,1055.15
2010-12,20727,"LUNCH BAG  BLACK SKULL.",40,1050.3000000000002
2010-12,48184,"DOORMAT ENGLISH ROSE ",20,1045.9499999999998
2010-12,20749,"ASSORTED COLOUR MINI CASES",32,1041.93
2010-12,22900," SET 2 TEA TOWELS I LOVE LONDON ",38,1018.7400000000002
2010-12,22570,"FELTCRAFT CUSHION RABBIT",48,1012.3800000000001
2010-12,21257,"VICTORIAN SEWING BOX MEDIUM",12,1012.2799999999997
2010-12,22630,"DOLLY GIRL LUNCH BOX",39,1010.8599999999997
2010-12,22504,"CABIN BAG VINTAGE RETROSPOT",11,1004.5999999999999
2010-12,22645,"CERAMIC HEART FAIRY CAKE MONEY BANK",23,1004.3499999999999
2010-12,22386,"JUMBO BAG PINK POLKADOT",35,1004.2099999999999
2010-12,22656,"VINTAGE BLUE KITCHEN CABINET",4,1000
2010-12,48116,"DOORMAT MULTICOLOUR STRIPE",15,994.1999999999996
2010-12,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",23,982.45
2010-12,22652,"TRAVEL SEWING KIT",45,981.9899999999997
2010-12,85099f,"JUMBO BAG STRAWBERRY",29,971.1600000000003
2010-12,85048,"15CM CHRISTMAS GLASS BALL 20 LIGHTS",24,969.3900000000001
2010-12,84375,"SET OF 20 KIDS COOKIE CUTTERS",32,966.6500000000004
2010-12,20713,"JUMBO BAG OWLS",33,964.0100000000002
2010-12,22694,"WICKER STAR ",49,961.0700000000008
2010-12,82583,"HOT BATHS METAL SIGN",22,959.8600000000004
2010-12,15056N,"EDWARDIAN PARASOL NATURAL",25,958.2900000000005
2010-12,22356,"CHARLOTTE BAG PINK POLKADOT",25,951.55
2010-12,22803,"IVORY EMBROIDERED QUILT ",5,946.3000000000001
2010-12,22847,"BREAD BIN DINER STYLE IVORY",13,945.5000000000001
2010-12,22169,"FAMILY ALBUM WHITE PICTURE FRAME",16,940.6300000000002
2010-12,21231,"SWEETHEART CERAMIC TRINKET BOX",35,938.5899999999999
2010-12,22149,"FELTCRAFT 6 FLOWER FRIENDS",40,934.3500000000005
2010-12,20712,"JUMBO BAG WOODLAND ANIMALS",20,932.3000000000003
2010-12,22940,"FELTCRAFT CHRISTMAS FAIRY",47,930.45
2010-12,20728,"LUNCH BAG CARS BLUE",35,929.4599999999999
2010-12,22730,"ALARM CLOCK BAKELIKE IVORY",35,926.37
2010-12,48111,"DOORMAT 3 SMILEY CATS",19,912.5399999999995
2010-12,21755,"LOVE BUILDING BLOCK WORD",37,906.9400000000006
2010-12,21210,"SET OF 72 RETROSPOT PAPER  DOILIES",28,905.5900000000003
2010-12,72351B,"SET/6 PINK  BUTTERFLY T-LIGHTS",15,902.5200000000003
2010-12,85064,"CREAM SWEETHEART LETTER RACK",15,899.9499999999997
2010-12,22952,"60 CAKE CASES VINTAGE CHRISTMAS",52,898.2400000000001
2010-12,21213,"PACK OF 72 SKULL CAKE CASES",28,894.9700000000003
2010-12,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",37,891.7899999999996
2010-12,22776,"SWEETHEART CAKESTAND 3 TIER",27,876.99
2010-12,84031A,"CHARLIE+LOLA RED HOT WATER BOTTLE ",8,872.9200000000001
2010-12,20679,"EDWARDIAN PARASOL RED",19,872.4500000000003
2010-12,21175,"GIN + TONIC DIET METAL SIGN",39,869.8600000000008
2010-12,22144,"CHRISTMAS CRAFT LITTLE FRIENDS",40,862.41
2010-12,82600,"NO SINGING METAL SIGN",32,860.3400000000005
2010-12,84406B,"CREAM CUPID HEARTS COAT HANGER",25,854.06
2010-12,72741,"GRAND CHOCOLATECANDLE",31,833.4899999999999
2010-12,22729,"ALARM CLOCK BAKELIKE ORANGE",34,831.0300000000001
2010-12,22646,"CERAMIC STRAWBERRY CAKE MONEY BANK",29,830.4100000000003
2010-12,85049A,"TRADITIONAL CHRISTMAS RIBBONS",35,830.2599999999999
2010-12,21790,"VINTAGE SNAP CARDS",44,828.09
2010-12,71053,"WHITE METAL LANTERN",16,824.1900000000005
2010-12,21914,"BLUE HARMONICA IN BOX ",34,819.1199999999999
2010-12,22909,"SET OF 20 VINTAGE CHRISTMAS NAPKINS",64,817.4200000000006
2010-12,22634,"CHILDS BREAKFAST SET SPACEBOY ",27,816
2010-12,22617,"BAKING SET SPACEBOY DESIGN",27,814.6500000000002
2010-12,20723,"STRAWBERRY CHARLOTTE BAG",19,812.28
2010-12,22768,"FAMILY PHOTO FRAME CORNICE",19,812.1799999999998
2010-12,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",37,805.17
2010-12,21218,"RED SPOTTY BISCUIT TIN",12,804.7200000000006
2010-12,22551,"PLASTERS IN TIN SPACEBOY",45,803.9999999999995
2010-12,22667,"RECIPE BOX RETROSPOT ",48,803.8500000000001
2010-12,21889,"WOODEN BOX OF DOMINOES",36,802.9499999999999
2010-12,84032B,"CHARLIE + LOLA RED HOT WATER BOTTLE",23,795.9200000000001
2010-12,84991,"60 TEATIME FAIRY CAKE CASES",47,793.6899999999999
2010-12,22966,"GINGERBREAD MAN COOKIE CUTTER",42,792.6999999999999
2010-12,84823,"DANISH ROSE FOLDING CHAIR",20,779.0999999999998
2010-12,21217,"RED RETROSPOT ROUND CAKE TINS",23,776.15
2010-12,22179,"SET 10 LIGHTS NIGHT OWL",14,772.09
2010-12,47591D,"PINK FAIRY CAKE CHILDRENS APRON",25,771.6100000000004
2010-12,22294,"HEART FILIGREE DOVE  SMALL",27,770.68
2010-12,21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",43,769.8400000000004
2010-12,84997A,"GREEN 3 PIECE POLKADOT CUTLERY SET",26,758.07
2010-12,22382,"LUNCH BAG SPACEBOY DESIGN ",41,753.9299999999996
2010-12,22147,"FELTCRAFT BUTTERFLY HEARTS",40,751.7799999999997
2010-12,22616,"PACK OF 12 LONDON TISSUES ",37,750.1000000000004
2010-12,22890,"NOVELTY BISCUITS CAKE STAND 3 TIER",14,746.1000000000001
2010-12,22554,"PLASTERS IN TIN WOODLAND ANIMALS",34,745.8800000000001
2010-12,22637,"PIGGY BANK RETROSPOT ",26,740.3000000000001
2010-12,22560,"TRADITIONAL MODELLING CLAY",29,738.99
2010-12,22456,"NATURAL SLATE CHALKBOARD LARGE ",17,734.6700000000001
2010-12,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",14,734.5499999999998
2010-12,37449,"CERAMIC CAKE STAND + HANGING CAKES",21,730.7099999999999
2010-12,20711,"JUMBO BAG TOYS ",12,728.93
2010-12,79067,"CORONA MEXICAN TRAY",17,719.6900000000002
2010-12,21110,"LARGE CAKE TOWEL PINK SPOTS",20,718.4499999999999
2010-12,22378,"WALL TIDY RETROSPOT ",15,717.1
2010-12,21463,"MIRRORED DISCO BALL ",15,716.2499999999999
2010-12,22839,"3 TIER CAKE TIN GREEN AND CREAM",13,716.0599999999998
2010-12,84992,"72 SWEETHEART FAIRY CAKE CASES",34,716.0100000000002
2010-12,22075,"6 RIBBONS ELEGANT CHRISTMAS ",18,712.4899999999999
2010-12,22556,"PLASTERS IN TIN CIRCUS PARADE ",41,706.8499999999996
2010-12,22501,"PICNIC BASKET WICKER LARGE",11,701.23
2010-12,84997C,"BLUE 3 PIECE POLKADOT CUTLERY SET",26,701.22
2010-12,22141,"CHRISTMAS CRAFT TREE TOP ANGEL",31,700.9800000000005
2010-12,85014B,"RED RETROSPOT UMBRELLA",20,697.9800000000004
2010-12,22424,"ENAMEL BREAD BIN CREAM",15,697.6
2010-12,22798,"ANTIQUE GLASS DRESSING TABLE POT",27,693.4500000000002
2010-12,84380,"SET OF 3 BUTTERFLY COOKIE CUTTERS",21,688.7099999999999
2010-12,21833,"CAMOUFLAGE LED TORCH",13,687.07
2010-12,84836,"ZINC METAL HEART DECORATION",38,683.9199999999998
2010-12,22734,"SET OF 6 RIBBONS VINTAGE CHRISTMAS",2,680.5
2010-12,18098C,"PORCELAIN BUTTERFLY OIL BURNER",15,678.8600000000002
2010-12,22782,"SET 3 WICKER STORAGE BASKETS ",9,676.6
2010-12,22207,"FRYING PAN UNION FLAG",11,671.7100000000003
2010-12,21108,"FAIRY CAKE FLANNEL ASSORTED COLOUR",14,670.4399999999998
2010-12,22553,"PLASTERS IN TIN SKULLS",39,667.2
2010-12,48173C,"DOORMAT BLACK FLOCK ",19,666.1200000000002
2010-12,84947,"ANTIQUE SILVER TEA GLASS ENGRAVED",24,664.2199999999999
2010-12,22082,"RIBBON REEL STRIPES DESIGN ",38,663.1999999999999
2010-12,22750,"FELTCRAFT PRINCESS LOLA DOLL",36,658.08
2010-12,22627,"MINT KITCHEN SCALES",18,645.7000000000002
2010-12,22295,"HEART FILIGREE DOVE LARGE",21,643.11
2010-12,22171,"3 HOOK PHOTO SHELF ANTIQUE WHITE",16,642.4200000000001
2010-12,21844,"RED RETROSPOT MUG",14,641.67
2010-12,21430,"SET/3 RED GINGHAM ROSE STORAGE BOX",24,638.82
2010-12,22371,"AIRLINE BAG VINTAGE TOKYO 78",28,638.7600000000003
2010-12,21935,"SUKI  SHOULDER BAG",10,636.19
2010-12,21908,"CHOCOLATE THIS WAY METAL SIGN",25,635.0700000000003
2010-12,21326,"AGED GLASS SILVER T-LIGHT HOLDER",37,634.4400000000002
2010-12,22314,"OFFICE MUG WARMER CHOC+BLUE",13,633.3900000000002
2010-12,22926,"IVORY GIANT GARDEN THERMOMETER",29,630.4599999999999
2010-12,21121,"SET/10 RED POLKADOT PARTY CANDLES",18,629.1600000000001
2010-12,20718,"RED RETROSPOT SHOPPER BAG",16,620.8199999999999
2010-12,21888,"BINGO SET",23,620.2800000000002
2010-12,22557,"PLASTERS IN TIN VINTAGE PAISLEY ",44,617.3099999999998
2010-12,20966,"SANDWICH BATH SPONGE",23,614.68
2010-12,21870,"I CAN ONLY PLEASE ONE PERSON MUG",29,612.8100000000002
2010-12,22635,"CHILDS BREAKFAST SET DOLLY GIRL ",24,612.43
2010-12,84880,"WHITE WIRE EGG HOLDER",9,612.0300000000001
2010-12,22812,"PACK 3 BOXES CHRISTMAS PANNETONE",26,611.5999999999999
2010-12,21558,"SKULL LUNCH BOX WITH CUTLERY ",13,608.8899999999996
2010-12,85049E,"SCANDINAVIAN REDS RIBBONS",40,607.8599999999999
2010-12,21769,"VINTAGE POST OFFICE CABINET",2,607.6500000000001
2010-12,22739,"RIBBON REEL CHRISTMAS SOCK BAUBLE",36,603.7099999999999
2010-12,21535,"RED RETROSPOT SMALL MILK JUG",7,600.3
2010-12,22649,"STRAWBERRY FAIRY CAKE TEAPOT",13,600.0699999999998
2010-12,C2,CARRIAGE,6,600
2010-12,22804,"CANDLEHOLDER PINK HANGING HEART",35,597.9300000000001
2010-12,85174,"S/4 CACTI CANDLES",17,597.8
2010-12,22759,"SET OF 3 NOTEBOOKS IN PARCEL",33,594.8399999999997
2010-12,22810,"SET OF 6 T-LIGHTS SNOWMEN",28,594.5300000000001
2010-12,84970S,"HANGING HEART ZINC T-LIGHT HOLDER",23,592.3399999999997
2010-12,22444,"GROW YOUR OWN PLANT IN A CAN ",13,592.18
2010-12,21621,"VINTAGE UNION JACK BUNTING",20,590.6800000000001
2010-12,48185,"DOORMAT FAIRY CAKE",18,589.5899999999998
2010-12,21143,"ANTIQUE GLASS HEART DECORATION ",20,588.85
2010-12,22945,"CHRISTMAS METAL TAGS ASSORTED ",15,587.9100000000001
2010-12,22150,"3 STRIPEY MICE FELTCRAFT",34,585.8399999999998
2010-12,22367,"CHILDRENS APRON SPACEBOY DESIGN",24,585.1999999999999
2010-12,21165,"BEWARE OF THE CAT METAL SIGN ",29,584.42
2010-12,85035C,"ROSE 3 WICK MORRIS BOX CANDLE",14,584.24
2010-12,85035B,"CHOCOLATE 3 WICK MORRIS BOX CANDLE",12,583.99
2010-12,21912,"VINTAGE SNAKES & LADDERS",18,579.7500000000001
2010-12,22595,"CHRISTMAS GINGHAM HEART",28,579.64
2010-12,22942,"CHRISTMAS LIGHTS 10 SANTAS ",20,577.6000000000001
2010-12,22549,"PICTURE DOMINOES",28,576.6400000000001
2010-12,21955,"DOORMAT UNION JACK GUNS AND ROSES",18,575.5799999999999
2010-12,21112,"SWISS ROLL TOWEL, PINK  SPOTS",15,571.75
2010-12,22846,"BREAD BIN DINER STYLE RED ",13,570.4
2010-12,22222,"CAKE PLATE LOVEBIRD WHITE",23,570.3900000000001
2010-12,21156,"RETROSPOT CHILDRENS APRON",23,570.1700000000002
2010-12,47567B,"TEA TIME KITCHEN APRON",19,569.8000000000002
2010-12,21122,"SET/10 PINK POLKADOT PARTY CANDLES",16,565.31
2010-12,22384,"LUNCH BAG PINK POLKADOT",26,564.5899999999998
2010-12,21429,"RED GINGHAM ROSE JEWELLERY BOX",27,562.6500000000001
2010-12,70006,"LOVE HEART POCKET WARMER",24,562.0300000000001
2010-12,21864,"UNION JACK FLAG PASSPORT COVER ",11,561.71
2010-12,22312,"OFFICE MUG WARMER POLKADOT",17,560.67
2010-12,22348,"TEA BAG PLATE RED RETROSPOT",22,558.3600000000001
2010-12,22974,"CHILDRENS DOLLY GIRL MUG",21,558.03
2010-12,21488,"RED WHITE SCARF  HOT WATER BOTTLE",3,557.8800000000001
2010-12,22173,"METAL 4 HOOK HANGER FRENCH CHATEAU",25,557.7300000000004
2010-12,22665,"RECIPE BOX BLUE SKETCHBOOK DESIGN",21,557.12
2010-12,21658,"GLASS  BEURRE DISH",12,556.8200000000003
2010-12,22800,"ANTIQUE TALL SWIRLGLASS TRINKET POT",23,555.84
2010-12,22567,"20 DOLLY PEGS RETROSPOT",17,554.01
2010-12,22095,"LADS ONLY TISSUE BOX",15,550.25
2010-12,21154,"RED RETROSPOT OVEN GLOVE ",21,547.23
2010-12,22301,"COFFEE MUG CAT + BIRD DESIGN",22,547.0100000000001
2010-12,71459,"HANGING JAM JAR T-LIGHT HOLDER",7,540.32
2010-12,22644,"CERAMIC CHERRY CAKE MONEY BANK",23,538.5699999999999
2010-12,22891,"TEA FOR ONE POLKADOT",17,535.44
2010-12,22692,"DOORMAT WELCOME TO OUR HOME",9,532.7399999999999
2010-12,85014A,"BLACK/BLUE POLKADOT UMBRELLA",20,532.6200000000001
2010-12,21673,"WHITE SPOT BLUE CERAMIC DRAWER KNOB",16,531.16
2010-12,22275,"WEEKEND BAG VINTAGE ROSE PAISLEY",1,527.85
2010-12,22844,"VINTAGE CREAM DOG FOOD CONTAINER",19,526.8000000000001
2010-12,22418,"10 COLOUR SPACEBOY PEN",25,525.27
2010-12,22725,"ALARM CLOCK BAKELIKE CHOCOLATE",22,524.3700000000001
2010-12,22848,"BREAD BIN DINER STYLE PINK",10,524.3
2010-12,22536,"MAGIC DRAWING SLATE PURDEY",20,523.87
2010-12,21107,"CREAM SLICE FLANNEL PINK SPOT ",12,523.65
2010-12,22840,"ROUND CAKE TIN VINTAGE RED",17,522.4899999999999
2010-12,22195,"LARGE HEART MEASURING SPOONS",20,520.59
2010-12,22855,"FINE WICKER HEART ",20,520.53
2010-12,47559b,"TEA TIME OVEN GLOVE",23,518.28
2010-12,21743,"STAR PORTABLE TABLE LIGHT ",16,516.26
2010-12,21340,"CLASSIC METAL BIRDCAGE PLANT HOLDER",14,516.17
2010-12,22740,"POLKADOT PEN",8,514.2400000000001
2010-12,20975,"12 PENCILS SMALL TUBE RED RETROSPOT",36,513.3199999999999
2010-12,62018,"SOMBRERO ",4,509.75
2010-12,35924,"HANGING FAIRY CAKE DECORATION",5,509.2199999999999
2010-12,22738,"RIBBON REEL SNOWY VILLAGE",29,507.4900000000001
2010-12,22771,"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",16,504.74
2010-12,22801,"ANTIQUE GLASS PEDESTAL BOWL",19,504.6600000000001
2010-12,85184C,"S/4 VALENTINE DECOUPAGE HEART BOX",19,504.4999999999999
